id,code,name
"bt178","WD","WD - Intermediate bulk container, aluminium"
"bt179","WL","WL - Intermediate bulk container, aluminium, liquid"
"bt180","WH","WH - Intermediate bulk container, aluminium, pressurised > 10 kpa"
"bt181","ZS","ZS - Intermediate bulk container, composite"
"bt182","ZR","ZR - Intermediate bulk container, composite, flexible plastic, liquids"
"bt183","ZP","ZP - Intermediate bulk container, composite, flexible plastic, pressurised"
"bt184","ZM","ZM - Intermediate bulk container, composite, flexible plastic, solids"
"bt185","ZQ","ZQ - Intermediate bulk container, composite, rigid plastic, liquids"
"bt186","ZN","ZN - Intermediate bulk container, composite, rigid plastic, pressurised"
"bt187","ZL","ZL - Intermediate bulk container, composite, rigid plastic, solids"
"bt188","ZT","ZT - Intermediate bulk container, fibreboard"
"bt189","ZU","ZU - Intermediate bulk container, flexible"
"bt190","WF","WF - Intermediate bulk container, metal"
"bt191","WM","WM - Intermediate bulk container, metal, liquid"
"bt192","ZV","ZV - Intermediate bulk container, metal, other than steel"
"bt193","WJ","WJ - Intermediate bulk container, metal, pressure 10 kpa"
"bt194","ZW","ZW - Intermediate bulk container, natural wood"
"bt195","WU","WU - Intermediate bulk container, natural wood, with inner liner"
"bt196","ZA","ZA - Intermediate bulk container, paper, multi-wall"
"bt197","ZC","ZC - Intermediate bulk container, paper, multi-wall, water resistant"
"bt198","WS","WS - Intermediate bulk container, plastic film"
"bt199","ZX","ZX - Intermediate bulk container, plywood"
"bt200","WY","WY - Intermediate bulk container, plywood, with inner liner"
"bt201","ZY","ZY - Intermediate bulk container, reconstituted wood"
"bt202","WZ","WZ - Intermediate bulk container, reconstituted wood, with inner liner"
"bt203","AA","AA - Intermediate bulk container, rigid plastic"
"bt204","ZK","ZK - Intermediate bulk container, rigid plastic, freestanding, liquids"
"bt205","ZH","ZH - Intermediate bulk container, rigid plastic, freestanding, pressurised"
"bt206","ZF","ZF - Intermediate bulk container, rigid plastic, freestanding, solids"
"bt207","ZD","ZD - Intermediate bulk container, rigid plastic, with structural equipment, solids"
"bt208","ZJ","ZJ - Intermediate bulk container, rigid plastic, with structural equipment, liquids"
"bt209","ZG","ZG - Intermediate bulk container, rigid plastic, with structural equipment, pressurised"
"bt210","WC","WC - Intermediate bulk container, steel"
"bt211","WK","WK - Intermediate bulk container, steel, liquid"
"bt212","WG","WG - Intermediate bulk container, steel, pressurised > 10 kpa"
"bt213","WT","WT - Intermediate bulk container, textile with out coat/liner"
"bt214","WV","WV - Intermediate bulk container, textile, coated"
"bt215","WX","WX - Intermediate bulk container, textile, coated and liner"
"bt216","WW","WW - Intermediate bulk container, textile, with liner"
"bt217","WP","WP - Intermediate bulk container, woven plastic, coated"
"bt218","WR","WR - Intermediate bulk container, woven plastic, coated and liner"
"bt219","WQ","WQ - Intermediate bulk container, woven plastic, with liner"
"bt220","WN","WN - Intermediate bulk container, woven plastic, without coat/liner"
"bt222","JY","JY - Jerrican, cylindrical"
"bt223","3H","3H - Jerrican, plastic"
"bt224","QM","QM - Jerrican, plastic, non-removable head"
"bt225","QN","QN - Jerrican, plastic, removable head"
"bt226","JC","JC - Jerrican, rectangular"
"bt227","3A","3A - Jerrican, steel"
"bt228","QK","QK - Jerrican, steel, non-removable head"
"bt229","QL","QL - Jerrican, steel, removable head"
"bt235","LZ","LZ - Logs, in bundle/bunch/truss"
"bt242","NU","NU - Net, tube, plastic"
"bt243","NV","NV - Net, tube, textile"
"bt246","IK","IK - Package, cardboard, with bottle grip-holes"
"bt247","IB","IB - Package, display, cardboard"
"bt248","ID","ID - Package, display, metal"
"bt249","IC","IC - Package, display, plastic"
"bt250","IA","IA - Package, display, wooden"
"bt251","IF","IF - Package, flow"
"bt252","IG","IG - Package, paper wrapped"
"bt253","IE","IE - Package, show"
"bt257","AH","AH - Pallet, 100cms * 110cms"
"bt258","PB","PB - Pallet, box"
"bt259","PD","PD - Pallet, modular, collars 80cms * 100cms"
"bt260","PE","PE - Pallet, modular, collars 80cms * 120cms"
"bt261","AF","AF - Pallet, modular, collars 80cms * 60cms"
"bt262","AG","AG - Pallet, shrinkwrapped"
"bt266","PV","PV - Pipes, in bundle/bunch/truss"
"bt269","PZ","PZ - Planks, in bundle/bunch/truss"
